game_id,platform
3498,PC
3498,PlayStation 5
3498,Xbox Series S/X
3498,PlayStation 4
3498,PlayStation 3
3498,Xbox 360
3498,Xbox One
3328,Xbox Series S/X
3328,PlayStation 5
3328,macOS
3328,PlayStation 4
3328,Nintendo Switch
3328,PC
3328,Xbox One
4200,PlayStation 3
4200,PC
4200,Xbox 360
4200,Linux
4200,macOS
4200,Xbox One
4291,PC
4291,Linux
4291,Xbox 360
4291,PlayStation 3
5286,PlayStation 3
5286,Xbox 360
5286,macOS
5286,PC
5286,Xbox One
5286,PlayStation 4
13536,macOS
13536,PC
13536,Android
13536,PlayStation 3
13536,Xbox 360
13536,Linux
13536,Nintendo Switch
12020,Xbox 360
12020,Linux
12020,PC
12020,macOS
5679,PC
5679,Xbox Series S/X
5679,PlayStation 5
5679,Xbox One
5679,PlayStation 4
5679,Nintendo Switch
5679,Xbox 360
5679,PlayStation 3
28,PC
28,PlayStation 4
28,Xbox One
4062,PlayStation 4
4062,Xbox 360
4062,Nintendo Switch
4062,Linux
4062,PC
4062,PlayStation 3
4062,Xbox One
13537,PC
13537,macOS
13537,Xbox 360
13537,Linux
13537,Xbox
13537,Android
802,PlayStation 3
802,macOS
802,PC
802,Android
802,Linux
802,PS Vita
802,Xbox 360
3439,iOS
3439,PC
3439,Linux
3439,PlayStation 3
3439,macOS
3439,Xbox 360
3439,Android
3439,PlayStation 4
3439,Xbox One
4286,PlayStation 3
4286,macOS
4286,PC
4286,Xbox 360
32,PlayStation 4
32,Xbox One
32,PC
32,Web
32,Xbox Series S/X
32,PlayStation 5
58175,PC
58175,PlayStation 4
3070,PlayStation 4
3070,PC
3070,PlayStation 5
3070,Xbox One
3939,Linux
3939,PC
3939,Xbox One
1030,PC
1030,Android
1030,PS Vita
1030,PlayStation 4
1030,PlayStation 3
1030,Xbox 360
1030,Linux
1030,macOS
1030,iOS
1030,Xbox One
1030,Nintendo Switch
11859,PC
11859,macOS
11859,Linux
2454,PC
2454,PlayStation 4
2454,Nintendo Switch
2454,Xbox One
41494,Nintendo Switch
41494,PlayStation 4
41494,PC
41494,Xbox Series S/X
41494,PlayStation 5
41494,Xbox One
422,Xbox 360
422,Wii U
422,Nintendo 3DS
422,Xbox One
422,PlayStation 4
422,iOS
422,PC
422,macOS
422,Linux
422,Nintendo Switch
422,PlayStation 3
422,PS Vita
422,Android
10213,Linux
10213,macOS
10213,PC
766,iOS
766,Xbox Series S/X
766,PlayStation 5
766,PlayStation 4
766,Xbox One
766,Nintendo Switch
766,PC
4459,Xbox 360
4459,PC
4459,PlayStation 3
4459,Xbox One
3272,Nintendo Switch
3272,Linux
3272,macOS
3272,Xbox One
3272,PC
3272,PlayStation 4
278,PC
278,PlayStation 4
29028,Xbox 360
29028,PC
7689,Xbox One
7689,PC
7689,macOS
7689,PlayStation 4
