game_id,store
3498,Steam
3498,PlayStation Store
3498,Epic Games
3498,Xbox 360 Store
3498,Xbox Store
3328,GOG
3328,PlayStation Store
3328,Steam
3328,Xbox Store
3328,Nintendo Store
4200,Xbox Store
4200,Steam
4200,PlayStation Store
4200,Xbox 360 Store
4291,PlayStation Store
4291,Steam
4291,Xbox 360 Store
5286,Xbox 360 Store
5286,Steam
5286,PlayStation Store
5286,Google Play
5286,App Store
5286,Epic Games
13536,Steam
13536,Google Play
12020,Steam
12020,Xbox 360 Store
5679,PlayStation Store
5679,Steam
5679,Nintendo Store
5679,Xbox 360 Store
28,PlayStation Store
28,Epic Games
28,Steam
28,Xbox Store
4062,Epic Games
4062,App Store
4062,Xbox Store
4062,Nintendo Store
4062,PlayStation Store
4062,Steam
4062,Xbox 360 Store
13537,Steam
13537,Google Play
802,PlayStation Store
802,Google Play
802,Steam
802,Xbox 360 Store
802,App Store
802,Xbox Store
3439,GOG
3439,PlayStation Store
3439,Steam
3439,Xbox Store
3439,Google Play
3439,Xbox 360 Store
3439,App Store
4286,PlayStation Store
4286,App Store
4286,Xbox Store
4286,Steam
4286,Xbox 360 Store
32,Epic Games
32,PlayStation Store
32,Xbox Store
32,Steam
58175,GOG
58175,PlayStation Store
58175,Steam
58175,Epic Games
3070,PlayStation Store
3070,Xbox Store
3070,Steam
3939,Epic Games
3939,PlayStation Store
3939,Steam
3939,Nintendo Store
3939,Xbox 360 Store
1030,App Store
1030,PlayStation Store
1030,Xbox Store
1030,Steam
1030,GOG
1030,Xbox 360 Store
1030,Nintendo Store
1030,Google Play
1030,Epic Games
11859,Steam
2454,GOG
2454,Steam
2454,PlayStation Store
2454,Nintendo Store
2454,Xbox Store
41494,PlayStation Store
41494,Xbox Store
41494,Steam
41494,Epic Games
41494,GOG
422,Xbox Store
422,Steam
422,GOG
422,Nintendo Store
422,App Store
422,Google Play
422,PlayStation Store
10213,Steam
766,App Store
766,Epic Games
766,PlayStation Store
766,Steam
766,Xbox Store
766,Nintendo Store
4459,PlayStation Store
4459,Xbox Store
4459,Steam
4459,Xbox 360 Store
3272,Xbox Store
3272,Steam
3272,PlayStation Store
3272,Nintendo Store
3272,Epic Games
278,PlayStation Store
278,Steam
278,Epic Games
29028,Steam
29028,Xbox 360 Store
7689,Xbox Store
7689,Steam
7689,Xbox 360 Store
7689,App Store
7689,Epic Games
3287,Nintendo Store
3287,PlayStation Store
3287,Epic Games
3287,GOG
3287,Xbox Store
3287,Steam
3192,PlayStation Store
3192,Steam
3192,Xbox 360 Store
3192,Xbox Store
290856,PlayStation Store
290856,Steam
290856,Nintendo Store
290856,Xbox Store
16944,Steam
16944,GOG
16944,Xbox Store
16944,App Store
17822,GOG
17822,Steam
416,Epic Games
416,PlayStation Store
416,Xbox Store
416,Steam
416,Xbox 360 Store
416,App Store
416,Google Play
19103,Steam
11973,GOG
11973,Steam
11973,PlayStation Store
11973,Xbox Store
11973,Xbox 360 Store
11973,App Store
23027,Steam
23027,Xbox 360 Store
23027,Xbox Store
23027,Nintendo Store
23027,GOG
23027,PlayStation Store
23027,Google Play
23027,Epic Games
23027,App Store
9767,Steam
9767,GOG
9767,Nintendo Store
9767,Xbox Store
9767,PlayStation Store
41,App Store
41,PlayStation Store
41,Steam
41,GOG
41,Xbox Store
4427,App Store
4427,Xbox Store
4427,Steam
4427,PlayStation Store
4427,Xbox 360 Store
18080,Steam
19710,Steam
19710,Google Play
11936,Steam
19709,Steam
19709,Google Play
2551,PlayStation Store
2551,Xbox Store
2551,Steam
10754,Epic Games
10754,PlayStation Store
10754,Nintendo Store
10754,Steam
10754,App Store
10754,GOG
654,PlayStation Store
654,App Store
654,Xbox Store
654,Steam
654,GOG
654,Nintendo Store
654,Google Play
4252,PlayStation Store
4252,Steam
4252,GOG
4252,Xbox 360 Store
10035,PlayStation Store
10035,Steam
10035,Xbox Store
10035,Epic Games
3612,GOG
3612,PlayStation Store
3612,Steam
3612,Google Play
3790,Epic Games
3790,PlayStation Store
3790,Xbox Store
3790,GOG
3790,Steam
1447,GOG
1447,PlayStation Store
1447,Steam
1447,Xbox Store
4161,Xbox Store
4161,PlayStation Store
4161,Steam
4161,Xbox 360 Store
10142,Epic Games
10142,Google Play
10142,App Store
10142,PlayStation Store
10142,Steam
10142,Xbox Store
10533,PlayStation Store
10533,Steam
10533,Xbox Store
10533,Epic Games
9721,Steam
19487,Xbox Store
19487,GOG
19487,Steam
19487,Xbox 360 Store
19487,Epic Games
13668,Epic Games
13668,Steam
13668,GOG
11935,Steam
3696,GOG
3696,Xbox Store
3696,Steam
3696,PlayStation Store
3696,Xbox 360 Store
3696,Epic Games
4332,Xbox Store
4332,PlayStation Store
4332,Steam
4332,Xbox 360 Store
4332,GOG
58134,Steam
58134,PlayStation Store
4386,Xbox Store
4386,PlayStation Store
4386,Steam
4386,Xbox 360 Store
29177,Steam
29177,PlayStation Store
29177,Epic Games
39,GOG
39,PlayStation Store
39,Steam
39,Xbox Store
39,Epic Games
5563,Xbox Store
5563,Steam
5563,PlayStation Store
5563,Xbox 360 Store
4828,PlayStation Store
4828,Xbox Store
4828,Steam
4828,Xbox 360 Store
12447,Steam
12447,PlayStation Store
12447,Xbox Store
864,GOG
864,PlayStation Store
864,Xbox Store
864,Steam
9882,Steam
10243,App Store
10243,Steam
4248,PlayStation Store
4248,Steam
4248,Xbox 360 Store
17540,Steam
17540,PlayStation Store
12536,PlayStation Store
12536,GOG
12536,Xbox Store
12536,Nintendo Store
12536,Steam
13633,App Store
13633,Steam
430,PlayStation Store
430,Steam
430,Google Play
430,App Store
5583,PlayStation Store
5583,Steam
5583,Xbox 360 Store
5583,GOG
3144,PlayStation Store
3144,Steam
3144,Xbox 360 Store
3144,Nintendo Store
3144,Google Play
3144,Epic Games
4514,PlayStation Store
4514,Steam
4514,Nintendo Store
4514,Xbox 360 Store
4514,Xbox Store
362,Xbox Store
362,Steam
362,PlayStation Store
362,Epic Games
3841,PlayStation Store
3841,Steam
3841,Xbox Store
3841,Xbox 360 Store
3841,Nintendo Store
58812,PlayStation Store
58812,GOG
58812,Steam
58812,Xbox Store
58812,Epic Games
257201,Epic Games
257201,Steam
257201,PlayStation Store
257201,Xbox Store
11934,Steam
4570,PlayStation Store
4570,Xbox Store
4570,Steam
4570,GOG
4570,Xbox 360 Store
2462,PlayStation Store
4806,Xbox Store
4806,PlayStation Store
4806,Steam
4806,Xbox 360 Store
3017,PlayStation Store
3017,Xbox Store
3017,Steam
3604,Nintendo Store
3604,PlayStation Store
3604,Steam
3604,GOG
3604,Xbox Store
