game_id,tag
3498,Singleplayer
3498,Steam Achievements
3498,Multiplayer
3498,Full controller support
3498,Atmospheric
3498,Great Soundtrack
3498,RPG
3498,Co-op
3498,Open World
3498,cooperative
3498,First-Person
3498,Third Person
3498,Funny
3498,Sandbox
3498,Comedy
3498,Third-Person Shooter
3498,Moddable
3498,Crime
3498,vr mod
3328,Singleplayer
3328,Full controller support
3328,Atmospheric
3328,Great Soundtrack
3328,RPG
3328,Story Rich
3328,Open World
3328,Third Person
3328,Fantasy
3328,Sandbox
3328,Action RPG
3328,Dark
3328,Nudity
3328,controller support
3328,Choices Matter
3328,Dark Fantasy
3328,Mature
3328,Medieval
3328,Magic
3328,Multiple Endings
4200,Singleplayer
4200,Steam Achievements
4200,Multiplayer
4200,Full controller support
4200,Steam Cloud
4200,Atmospheric
4200,steam-trading-cards
4200,Co-op
4200,Story Rich
4200,cooperative
4200,First-Person
4200,Sci-fi
4200,FPS
4200,Online Co-Op
4200,Funny
4200,Female Protagonist
4200,Comedy
4200,Local Co-Op
4200,stats
4200,Steam Workshop
4200,Space
4200,Includes level editor
4200,Captions available
4200,Commentary available
4200,Science
4291,Steam Achievements
4291,Multiplayer
4291,Full controller support
4291,steam-trading-cards
4291,Co-op
4291,cooperative
4291,First-Person
4291,FPS
4291,Online Co-Op
4291,Tactical
4291,stats
4291,Steam Workshop
4291,PvP
4291,Moddable
4291,War
4291,In-App Purchases
4291,Realistic
4291,Team-Based
4291,Fast-Paced
4291,Military
4291,Competitive
4291,Valve Anti-Cheat enabled
4291,e-sports
4291,Trading
5286,Singleplayer
5286,Multiplayer
5286,Full controller support
5286,Atmospheric
5286,RPG
5286,Third Person
5286,Exploration
5286,Classic
5286,Female Protagonist
5286,Stealth
5286,Action-Adventure
5286,Third-Person Shooter
5286,Retro
5286,Cinematic
5286,Quick-Time Events
5286,Dinosaurs
5286,Lara Croft
13536,Singleplayer
13536,Steam Achievements
13536,Atmospheric
13536,Great Soundtrack
13536,Story Rich
13536,First-Person
13536,Sci-fi
13536,Partial Controller Support
13536,FPS
13536,Funny
13536,Classic
13536,Female Protagonist
13536,Comedy
13536,Includes level editor
13536,Captions available
13536,Short
13536,Physics
13536,Dark Humor
13536,Commentary available
13536,Includes Source SDK
13536,Science
12020,Singleplayer
12020,Steam Achievements
12020,Multiplayer
12020,Full controller support
12020,Steam Cloud
12020,steam-trading-cards
12020,Co-op
12020,cooperative
12020,First-Person
12020,Horror
12020,FPS
12020,Online Co-Op
12020,Gore
12020,Survival
12020,Local Co-Op
12020,Tactical
12020,stats
12020,Steam Workshop
12020,Zombies
12020,Moddable
12020,Survival Horror
12020,Post-apocalyptic
12020,Captions available
12020,Replay Value
12020,Team-Based
12020,Valve Anti-Cheat enabled
12020,Commentary available
12020,Includes Source SDK
5679,Singleplayer
5679,Steam Achievements
5679,Steam Cloud
5679,Atmospheric
5679,steam-trading-cards
5679,Great Soundtrack
5679,RPG
5679,Story Rich
5679,Open World
5679,First-Person
5679,Third Person
5679,Partial Controller Support
5679,Fantasy
5679,Sandbox
5679,Action RPG
5679,Steam Workshop
5679,role-playing
5679,Moddable
5679,Character Customization
5679,Dark Fantasy
5679,Medieval
5679,Magic
5679,Lore-Rich
5679,Dragons
28,Singleplayer
28,Multiplayer
28,Atmospheric
28,Great Soundtrack
28,Co-op
28,Story Rich
28,Open World
28,First-Person
28,Third Person
28,Partial Controller Support
28,FPS
28,Online Co-Op
28,Gore
28,Exploration
28,Sandbox
28,Violent
28,Third-Person Shooter
28,PvP
28,In-App Purchases
28,Mature
28,Realistic
28,Historical
28,Cinematic
28,Crime
28,Online PvP
28,3rd-Person Perspective
28,Blood
28,America
28,Masterpiece
28,Beautiful
28,Hunting
28,Western
28,3rd-person
4062,Singleplayer
4062,Steam Achievements
4062,Full controller support
4062,Steam Cloud
4062,Atmospheric
4062,steam-trading-cards
4062,Great Soundtrack
4062,RPG
4062,Story Rich
4062,First-Person
4062,Sci-fi
4062,FPS
4062,Fantasy
4062,Gore
4062,Controller
4062,Dystopian
4062,Linear
4062,Steampunk
4062,Alternate History
4062,Time Travel
4062,Political
13537,Singleplayer
13537,Steam Achievements
13537,Multiplayer
13537,Steam Cloud
13537,Atmospheric
13537,steam-trading-cards
13537,Great Soundtrack
13537,Story Rich
13537,First-Person
13537,Sci-fi
13537,Partial Controller Support
13537,Horror
13537,FPS
13537,Classic
13537,Zombies
13537,Moddable
13537,Captions available
13537,Physics
13537,Aliens
13537,Dystopian
13537,Includes Source SDK
13537,Silent Protagonist
13537,vr mod
802,Singleplayer
802,Steam Achievements
802,Multiplayer
802,Full controller support
802,Steam Cloud
802,Atmospheric
802,steam-trading-cards
802,RPG
802,Co-op
802,Open World
802,cooperative
802,Sci-fi
802,FPS
802,Online Co-Op
802,Funny
802,Comedy
802,Action RPG
802,Futuristic
802,Memes
802,Stylized
802,Dark Humor
802,Loot
3439,Singleplayer
3439,Full controller support
3439,Atmospheric
3439,steam-trading-cards
3439,Great Soundtrack
3439,Story Rich
3439,Third Person
3439,Female Protagonist
3439,Dark
